ID del Caso;Nombre del Caso;Módulo/Pantalla;Propiedad de Software;Tipo de Prueba;Precondiciones;Datos de Entrada;Pasos de Ejecución;Resultado Esperado;Resultado Obtenido;Estado;Observaciones;RF Asociado;CU Asociado;Evidencia;Resultado Obtenido (Web);Estado (Web);Observaciones (Web)
CP-011;Consultar historial de transacciones;Transactions / HistorialScreen;Funcionalidad;Caja Negra;Usuario con sesión activa, al menos 5 transacciones registradas;"1. Vista completa: Sin filtros aplicados
2. Filtro por fecha: Últimos 7 días, último mes, rango personalizado
3. Filtro por categoría: Solo ""Alimentos""
4. Filtro por tipo: Solo egresos
5. Búsqueda por texto: ""Metro"", ""Oxxo""";"1. Navegar a Transacciones
3. Observar lista de transacciones
4. Aplicar filtros según el caso
5. Buscar por texto si aplica
6. Verificar resultados mostrados
7. Click en transacción para ver detalle";"1. Vista completa: Todas las transacciones visibles, ordenadas por fecha
2. Filtro fecha: Solo transacciones en rango seleccionado
3. Filtro categoría: Solo transacciones de categoría seleccionada
4. Filtro tipo: Solo egresos o ingresos según selección
5. Búsqueda: Resultados que contienen el texto buscado";"1. Vista completa: CORRECTO
2. Filtro fecha: CORRECTO
3. Filtro categoría: INCORRECTO
4. Filtro tipo: INCORRECTO
5. Búsqueda: INCORRECTO";FALLÓ;Solo se aplicaron los filtros de Fecha mediante botones, no filtros complejos;RF-11;CU-18;;"1. Vista completa: CORRECTO
2. Filtro fecha: CORRECTO
3. Filtro categoría: CORRECTO
4. Filtro tipo: INCORRECTO
5. Búsqueda: INCORRECTO";FALLÓ;No funciona el boton de filtro de egreso o ingreso.
CP-012;Visualizar estadísticas por categoría;Home / StatsScreen;Funcionalidad;Caja Negra;Usuario con sesión activa, transacciones en múltiples categorías;;;;;FALLÓ;NO SE IMPLEMENTO ESTA PANTALLA;RF-22;CU-10;;NA;NA;
CP-013;Visualizar gráficas de gastos;Home / ChartsScreen;Funcionalidad;Caja Negra;Usuario con sesión activa, datos de gastos en varios días/meses;"1. Gráfica barras: Comparación mes a mes
2. Gráfica líneas: Evolución de gastos en el tiempo
";"1. Navega a Transacciones
2. Observar renderizado de gráfica
3. Interactuar con gráfica (tocar segmentos)
4. Verificar leyenda y etiquetas";"1. Gráfica barras: Compara meses con alturas proporcionales
2. Gráfica líneas: Muestra tendencia temporal correcta";"1. Gráfica barras: CORRECTA 
2. Gráfica líneas: CORRECTA";PASÓ;;RF-12;CU-23;;NA;NA;
CP-014;Establecer alertas de pago de deudas;Notifications / ConfigScreen;Funcionalidad;Caja Negra;Usuario con sesión activa, deudas registradas;"1. Activar alerta: Switch ON para alertas de deudas
2. Desactivar alerta: Switch OFF
3. Configuración persistente: Reabrir app y verificar estado";"1. Ir a Notificaciones
2. Localizar switch ""Pago de deuda próximo""
3. Activar/desactivar según caso
4. Guardar configuración
5. Verificar alerta en NotificationsScreen";"1. Activar: Switch ON, alertas habilitadas
2. Desactivar: Switch OFF, no se generan alertas
3. Persistente: Configuración se mantiene al reabrir";"1. Activar: CORRECTA
2. Desactivar: CORRECTA 
3. Persistente: CORRECTA";PASÓ;;RF-24;CU-13;;"1. Activar: CORRECTA
2. Desactivar: CORRECTA 
3. Persistente: CORRECTA";PASÓ;
CP-015;Ver historial de notificaciones;Notifications / NotificationsScreen;Funcionalidad;Caja Negra;Usuario con sesión activa, al menos 3 alertas generadas;"1. Vista completa: Todas las alertas (leídas y no leídas)
2. Marcar como leída: Click en alerta no leída
3. Marcar todas: Botón ""Marcar todas como leídas""
4. Eliminar alerta: Swipe to delete en alerta";"1. Ir a Notificaciones
2. Observar lista de alertas
3. Verificar badge ""Nueva"" en no leídas
4. Click en alerta para marcar como leída
5. Usar botón ""Marcar todas""
6. Swipe left para eliminar alerta
7. Confirmar eliminación";"1. Vista completa: Todas las alertas visibles ordenadas por fecha
2. Marcar leída: Alerta cambia a estado leído, badge desaparece
3. Marcar todas: Todas las alertas marcadas como leídas
4. Eliminar: Alerta eliminada de la lista tras confirmación";"1. Vista completa: CORRECTA
2. Marcar leída: CORRECTA
3. Marcar todas:  CORRECTA
4. Eliminar: CORRECTA";PASÓ;;RF-21;CU-09;;"1. Vista completa: CORRECTA
2. Marcar leída: CORRECTA
3. Marcar todas:  CORRECTA
4. Eliminar: CORRECTA";PASÓ;
CP-016;Modificar categoría de gastos;Categories / EditCategoryScreen;Funcionalidad;Caja Negra;Usuario con sesión activa, categoría personalizada existente;"1. Cambiar nombre: ""Transporte"" ? ""Movilidad""
2. Cambiar color: Azul ? Verde
3. Cambiar icono: directions_car ? directions_bus
4. Nombre duplicado: Cambiar a nombre que ya existe
5. Eliminar categoría: Con gastos asociados / sin gastos";"1. Desde Presupuestos, seleccionar categorías
2. Presionar botón ""Editar"" en categorías ya creadas
3. Modificar nombre/color/icono según caso
4. Presionar ""Guardar Cambios""
5. Si es eliminar, presionar ""Eliminar Categoría""
6. Confirmar eliminación si aplica
7. Verificar cambios en lista";"1. Cambiar nombre: Nombre actualizado correctamente
2. Cambiar color: Color actualizado en toda la app
3. Cambiar icono: Icono actualizado en todas las vistas
4. Duplicado: Error ""Ya existe una categoría con ese nombre""
5. Eliminar con gastos: Error / Eliminar sin gastos: Éxito";"1. Cambiar nombre: CORRECTO
2. Cambiar color: CORRECTO
3. Cambiar icono:  FALLO
4. Duplicado: FALLO
5. Eliminar con gastos: ADVERTENCIA";FALLÓ;El icono no cambia.                                      Si permite categorias con el mismo nombre.                                                       Solo manda error al querrer eliminar la categoria, no dice el por que.;RF-23;CU-11;;"1. Cambiar nombre: CORRECTO
2. Cambiar color: CORRECTO
3. Cambiar icono:  FALLO
4. Duplicado: FALLO
5. Eliminar con gastos: CORRECTO";FALLÓ;Permite duplicados y no permite cambiar icono.
CP-017;Consultar tickets escaneados;Scan / TicketsScreen;Funcionalidad;Caja Negra;Usuario con sesión activa, al menos 3 tickets escaneados;"1. Vista completa: Todos los tickets
2. Ver detalle: Click en ticket para ver productos";"1. Ir a Transacciones
2. Observar lista de tickets escaneados
3. Click en ticket para ver detalle
4. Verificar productos, monto total, fecha
5. Verificar foto del ticket original";"1. Vista completa: Todos los tickets visibles con miniatura
2. Ver detalle: Muestra productos, total, foto original";"1. Vista completa: CORRECTA
2. Ver detalle: CORRECTA";PASÓ;;RF-29;CU-19;;NA;NA;
CP-018;Verificar cifrado de contraseñas (hash);Backend / Database;Seguridad;Caja Negra;Acceso a base de datos MySQL, usuario registrado;"1. Verificar tabla usuarios
2. Buscar campo password
3. Confirmar que NO está en texto plano
4. Confirmar formato de hash (bcrypt/argon2)
5. Intentar login con hash directo (debe fallar)";"1. Conectarse a base de datos MySQL
2. Ejecutar: SELECT email, password FROM Usuarios LIMIT 5
3. Observar valores en columna password
4. Verificar que son hashes (no texto legible)
5. Verificar longitud consistente (60+ caracteres)
6. Intentar login usando hash como password
7. Debe rechazar";"1. Contraseñas NO están en texto plano
2. Valores son hashes (strings largos aleatorios)
3. Longitud consistente (~60 caracteres bcrypt)
4. Login con hash falla (validación correcta)
5. Confirmación de algoritmo seguro";1. CORRECTO                                                2. CORRECTO                                               3. CORRECTO                                                 4. CORRECTO                                               5. CORRECTO;PASÓ;;N/A;RNF-01;;"1. CORRECTO                                               
2. CORRECTO                                               
3. CORRECTO                                                 
4. CORRECTO                                               
5. CORRECTO";PASÓ;
CP-019;Validar tokens JWT en autenticación;Auth / Backend;Seguridad;Caja Negra;Usuario con sesión activa, herramientas de red (Postman/Charles);"1. Token válido: Request con token correcto
2. Token expirado: Request con token antiguo (>24hrs)
3. Token manipulado: Modificar payload del token
4. Sin token: Request sin header Authorization
5. Token de otro usuario: Usar token válido de usuario diferente";"1. Login en la app, capturar token JWT
2. Usar herramienta para hacer request a /api/transactions
3. Casos:
   - Incluir token válido en header
   - Usar token antiguo
   - Modificar parte del token
   - Omitir header Authorization
   - Usar token de otro usuario
4. Observar respuesta del servidor";"1. Token válido: Respuesta 200, datos correctos
2. Token expirado: Error 401 ""Token expirado""
3. Token manipulado: Error 401 ""Token inválido""
4. Sin token: Error 401 ""No autorizado""
5. Token otro usuario: Recibe datos del usuario del token (seguro)";1. CORRECTO                                                2. CORRECTO                                               3. CORRECTO                                                 4. CORRECTO                                               5. CORRECTO;PASÓ;;N/A;RNF-01;;"1. CORRECTO
2. CORRECTO
3. CORRECTO
4. CORRECTO 
5. CORRECTO";PASÓ;
CP-020;Prevenir inyección SQL en formularios;Auth / Transactions;Seguridad;Caja Negra;App instalada, backend activo;"1. Login: email=admin' OR '1'='1, password=cualquiera
2. Registro: nombre='; DROP TABLE Usuarios; --
3. Buscar: texto=' UNION SELECT * FROM Usuarios --
4. Agregar gasto: descripción='); DELETE FROM Gastos; --
5. Caracteres especiales: ', "", --, /*, ;";"1. Intentar login con email SQL injection
2. Intentar registro con SQL injection en nombre
3. Buscar transacciones con SQL injection
4. Agregar gasto con SQL injection en descripción
5. Observar respuestas del sistema
6. Verificar que base de datos no fue afectada";"1. Login injection: Rechazado, error de credenciales inválidas
2. Registro injection: Caracteres escapados o rechazados
3. Búsqueda injection: Sin resultados o error seguro
4. Gasto injection: Descripción guardada como texto plano escapado
5. Base de datos intacta, sin ejecución de comandos SQL";1. CORRECTO                                                2. CORRECTO                                               3. CORRECTO                                                 4. CORRECTO                                               5. CORRECTO;PASÓ;;N/A;RNF-01;;"1. CORRECTO
2. CORRECTO
3. CORRECTO
4. CORRECTO 
5. CORRECTO";PASÓ;
CP-021;Validar navegación intuitiva entre pantallas;App completa;Usabilidad;Caja Negra;Usuario sin experiencia previa con la app;"1. Navegación bottom nav: Probar 5 tabs del bottom navigation
2. Navegación back: Botón back lleva a pantalla anterior
3. Navegación lógica: Flujo Auth ? Setup ? Home ? Features
4. Breadcrumbs: Usuario sabe dónde está en todo momento
5. Accesos directos: FAB y shortcuts funcionan";"1. Entregar app a usuario nuevo
2. Pedirle realizar tareas:
   - Ver gastos del mes
   - Agregar un gasto
   - Ver notificaciones
   - Configurar presupuesto
3. Observar:
   - Puede completar sin ayuda
   - No se pierde en navegación
   - Encuentra botones intuitivamente
4. Tiempo promedio por tarea < 30 segundos";"1. Usuario completa todas las tareas sin ayuda
2. No se confunde con navegación
3. Botón back funciona correctamente
4. Bottom navigation es claro
5. Iconos y labels son comprensibles
6. Tiempo por tarea < 30 segundos";1. ADVERTENCIA                                                2. ADVERTENCIA                                               3. CORRECTO                                                 4. CORRECTO                                               5. CORRECTO                                              6. CORRECTO;PASÓ CON OBSERVACIONES;No hay un flujo correcto para que el usuario sepa correctamente por que ventana navegar;N/A;RNF-05;;"1. CORRECTO
2. CORRECTO
3. CORRECTO
4. CORRECTO 
5. CORRECTO
6.CORRECTO";PASÓ CON OBSERVACIONES;Lenguaje poco comprensible para publico en general, funciones dificiles de entender.
CP-022;Verificar ortografía correcta en textos;App completa;Usabilidad;Caja Negra;App instalada;"Revisar TODAS las pantallas en busca de:
1. Errores ortográficos
2. Tildes faltantes
3. Mayúsculas incorrectas
4. Puntuación incorrecta
5. Textos en inglés (debe ser español)";"1. Navegar por todas las 34+ pantallas
2. Leer títulos, labels, botones, mensajes
3. Documentar errores encontrados:
   - Pantalla
   - Ubicación
   - Error
   - Corrección sugerida
4. Verificar mensajes de error
5. Verificar tooltips y hints";"1. Todos los textos en español correcto
2. Sin errores ortográficos
3. Tildes correctas en todas las palabras
4. Mayúsculas al inicio de oraciones
5. Puntuación correcta
6. Consistencia en terminología";1. ADVERTENCIA                                                2. ADVERTENCIA                                               3. CORRECTO                                                 4. CORRECTO                                               5. CORRECTO                                              6. CORRECTO;PASÓ;;N/A;RNF-05;;"1. CORRECTO
2. CORRECTO
3. CORRECTO
4. CORRECTO 
5. CORRECTO
6.CORRECTO";PASÓ;
CP-023;Comprobar diseño Material Design;App completa;Usabilidad;Caja Negra;App instalada, conocimiento de guías Material Design;"Verificar cumplimiento de Material Design:
1. Colores: Paleta consistente, contraste adecuado
2. Botones: FAB, raised, flat usados correctamente
3. Espaciado: Padding/margins consistentes (8dp múltiplos)
4. Tipografía: Tamaños jerárquicos correctos
5. Iconos: Material Icons, tamaño adecuado (24dp)";"1. Revisar todas las pantallas principales
2. Verificar paleta de colores primarios/secundarios
3. Medir espaciados (usar herramientas dev)
4. Verificar jerarquía tipográfica
5. Comparar con guías oficiales Material Design
6. Documentar desviaciones encontradas";"1. Paleta de colores consistente en toda la app
2. Botones siguen patrones Material (elevación, ripple)
3. Espaciados múltiplos de 8dp
4. Tipografía: Headlines, Body, Caption correctos
5. Iconos Material Icons 24dp
6. Cards con elevación correcta
7. Sin desviaciones significativas de MD";;FALLÓ;Falta verificar los diseños del Material Design;N/A;RNF-05;;;FALLÓ;Falta verificar los diseños del Material Design
CP-024;"Validar adaptación responsive (5""-6.7"")";App completa;Usabilidad;Caja Negra;"Dispositivos/emuladores con pantallas 5"", 5.5"", 6"", 6.5"", 6.7""";"Probar en diferentes tamaños:
1. Pantalla pequeña: 5"" (ej: Samsung Galaxy A10)
2. Pantalla media: 5.5"" (ej: Pixel 4a)
3. Pantalla grande: 6.5"" (ej: Samsung S21)
4. Pantalla muy grande: 6.7"" (ej: iPhone 13 Pro Max)
5. Orientación: Portrait y landscape";"1. Cargar app en cada tamaño de pantalla
2. Navegar por todas las pantallas principales
3. Verificar:
   - Textos legibles (no cortados)
   - Botones accesibles
   - Imágenes escaladas correctamente
   - No overflow de contenido
   - Espaciados proporcionales
4. Rotar a landscape, verificar adaptación";"1. Pantalla 5"": Todo visible, sin scroll horizontal forzado
2. Pantalla 5.5"": Elementos bien distribuidos
3. Pantalla 6.5"": Aprovecha espacio sin verse vacío
4. Pantalla 6.7"": Contenido escalado proporcionalmente
5. Landscape: Layout se adapta correctamente
6. Sin botones fuera de alcance
7. Sin textos cortados o overlapping";1. CORRECTO                                                2. CORRECTO                                               3. CORRECTO                                                 4. CORRECTO                                               5. CORRECTO                                              6. CORRECTO;PASÓ;;N/A;RNF-05;;NA;NA;
